"TOA5","10029","CR3000","10029","CR3000.Std.27.04","CPU:Final-24-06-2017.CR3","40325","Resumen"
"TIMESTAMP","RECORD","Strain(1)","Strain(2)","Strain(3)","Strain(4)","Strain(5)","Strain(6)","Strain_2(1)","Strain_2(2)"
"TS","RN","microstrain","microstrain","microstrain","microstrain","microstrain","microstrain","microstrain","microstrain"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2017-04-28 12:20:05",44,-32.43409,-0.1687745,1.259231,1.472132,1.896281,-0.1413327,994.0031,534.0302
"2017-04-28 12:20:06.5",45,-33.47688,-0.2025113,0.868419,1.388795,1.950807,-0.1413327,0.1715909,0.01634683
"2017-04-28 12:20:08",46,-34.48759,-0.01686838,1.422089,1.655403,1.805425,-0.1576988,0.1549911,0.01634683
"2017-04-28 12:20:09.5",47,-35.28975,0.05066562,0.9823961,1.672118,1.896281,-0.1576988,0.2712494,0.03263529
"2017-04-28 12:20:11",48,-36.4449,0.1181694,1.210467,1.705429,2.223439,-0.1250251,0.2712494,0.01634683
"2017-04-28 12:20:12.5",49,-37.27913,0.08440238,1.405873,2.022063,2.259801,-0.1087175,0.5204251,-0.01628845
"2017-04-28 12:20:14",50,-38.08129,0.1519364,1.438421,1.955381,2.387018,-0.1413327,0.5868244,-0.04886536
"2017-04-28 12:20:15.5",51,-38.89948,0.2700755,1.51985,2.005407,2.477906,-0.1413327,0.5536247,5.838156E-005
"2017-04-28 12:20:17",52,-39.68193,0.213908,1.614812,1.96147,2.618861,-0.1517953,0.7039751,-0.02475378
"2017-04-28 12:20:18.5",53,-40.53219,0.2307764,1.777669,2.32813,2.600697,-0.1517953,0.7205749,0.02416996
"2017-04-28 12:20:20",54,-41.1739,0.3151788,1.761337,2.178111,2.54617,-0.08650637,0.7205749,-0.04104223
"2017-04-28 12:20:21.5",55,-41.92796,0.3151788,1.761337,2.261448,2.618861,-0.1681029,0.8202333,0.00788151
"2017-04-28 12:20:23",56,-42.60173,0.3151788,1.777669,2.361441,2.637025,-0.2007182,0.7371747,-0.008406945
"2017-04-28 12:20:24.5",57,-43.25953,0.3658142,1.859098,2.394752,2.655223,-0.1517953,0.7869741,0.00788151
"2017-04-28 12:20:26",58,-43.86917,0.3826826,1.875314,2.428063,2.600697,-0.1844106,0.670716,-0.008406945
"2017-04-28 12:20:27.5",59,-44.54295,0.4501864,1.712456,2.311415,2.582499,-0.2170843,0.7703744,-0.008406945
"2017-04-28 12:20:29",60,-1.262033,0.033767,0.02718184,-0.01665551,0.006054868,0.01636607,0.6873752,0.00788151
"2017-04-28 12:20:30.5",61,-1.887705,0.01686838,-0.07046281,-0.04996653,0.006054868,0.06528894,0.6873752,0.00788151
"2017-04-28 12:20:32",62,-2.465276,0.01686838,0.07606249,0.06668175,-0.01210974,-0.01624917,0.7039751,-0.008406945
"2017-04-28 12:20:33.5",63,-3.042788,-0.06750377,0.07606249,0.06668175,-0.0484715,0.03267369,0.7205749,-0.07361914
"2017-04-28 12:20:35",64,-3.620358,-0.08437216,-0.02169881,-0.06668175,0.06058124,0.06528894,0.6541161,-0.04104223
"2017-04-28 12:20:36.5",65,-4.149768,-0.1012708,-0.07046281,0.03331102,-0.01210974,0.04898132,0.6873752,-0.02475378
"2017-04-28 12:20:38",66,-4.647111,-0.06750377,0.02718184,0.01665551,0.07874585,0.08159655,0.7869741,0.00788151
"2017-04-28 12:20:39.5",67,-5.224623,-0.1012708,0.1900396,0.03331102,0.09694301,0.01636607,0.6375163,0.02416996
"2017-04-28 12:20:41",68,-5.721965,-0.08437216,0.2225878,0.06668175,0.07874585,0.04898132,0.8368331,0.02416996
"2017-04-28 12:20:42.5",69,-6.267467,-0.01686838,0.1900396,0.1666745,0.04241664,0.03267369,0.7869741,-0.02475378
"2017-04-28 12:20:44",70,-6.748718,-0.01686838,0.1248265,0.1666745,0.1151076,-0.06523048,0.6209165,-0.02475378
"2017-04-28 12:20:45.5",71,-7.165833,-0.08437216,0.2225878,0.1499593,0.06058124,-0.03261524,0.7039751,-0.008406945
"2017-04-28 12:20:47",72,-7.711335,-0.06750377,0.3040167,0.2166411,0.2423249,0.01636607,0.670716,0.04045842
"2017-04-28 12:20:48.5",73,-8.112415,-0.06750377,0.255136,0.1999855,0.1332722,5.845026E-005,0.7039751,0.00788151
"2017-04-28 12:20:50",74,-8.529531,-0.05063539,0.3202324,0.2332966,0.2423249,-0.03261524,0.7039751,0.04045842
"2017-04-28 12:20:51.5",75,-8.962679,-0.06750377,0.255136,0.2332966,0.169634,5.845026E-005,0.7537746,-0.04104223
"2017-04-28 12:20:53",76,-9.395827,-0.1012708,0.2225878,0.1499593,0.2604896,-0.04892286,0.8202333,0.05674687
"2017-04-28 12:20:54.5",77,-9.796908,-0.05063539,0.2389202,0.2666673,0.2786867,0.01636607,0.670716,0.00788151
"2017-04-28 12:20:56",78,-10.18196,-0,0.3365649,0.3833156,0.4422333,5.845026E-005,0.7869741,-0.008406945
"2017-04-28 12:20:57.5",79,-10.62154,-0.002932318,0.4892732,0.4443261,0.3126721,-0.03810956,0.7453854,0.00338613
"2017-04-28 12:20:59",80,-10.8782,0.04770307,0.4241768,0.3943596,0.3126721,-0.02180195,0.7620447,-0.06182607
"2017-04-28 12:21:00.5",81,-11.37554,-0.07043609,0.1311262,0.2943667,0.3308367,-0.005494324,0.695586,-0.02924916
"2017-04-28 12:21:02",82,-11.79266,-0.0198007,0.3752961,0.4776371,0.4035277,-0.02180195,0.7453854,-0.02924916
"2017-04-28 12:21:03.5",83,-12.03328,0.09833845,0.212555,0.411015,0.4217249,0.05973616,0.7121857,-0.01290232
"2017-04-28 12:21:05",84,-12.62689,-0.002932318,0.5381538,0.4609816,0.4035277,0.0108133,0.5959275,-0.06182607
"2017-04-28 12:21:06.5",85,-12.83544,0.06457146,0.261319,0.4443261,0.3853631,0.0108133,0.7620447,-0.01290232
"2017-04-28 12:21:08",86,-13.14026,0.06457146,0.212555,0.5110078,0.3490339,-0.005494324,0.7121857,0.01967458
"2017-04-28 12:21:09.5",87,-13.50922,0.09833845,0.4730574,0.6276562,0.4398895,-0.005494324,0.7620447,-0.01290232
"2017-04-28 12:21:11",88,-13.8622,0.04770307,0.5381538,0.5443188,0.4217249,-0.02180195,0.7121857,-0.01290232
"2017-04-28 12:21:12.5",89,-14.27931,0.2164776,0.4892732,0.5609744,0.3671985,-0.07078326,0.7786445,0.01967458
"2017-04-28 12:21:14",90,-14.63223,0.1489738,0.5056056,0.4443261,0.3308367,-0.005494324,0.6457865,0.06853995
